zeit	anzahl1	anzahl2	haeufigkeit
0.01665	14	6.0000000006	2
0.03665	10	7.0000000007	4
0.05665	16	8.0000000008	4
0.07665	13	9.0000000009	7
0.0966333333333333	18	10.000000001	22
0.11665	15	11.0000000011	26
0.13665	11	12.0000000012	26
0.15665	11	13.0000000013	49
0.17665	20	14.0000000014	46
0.19665	17	15.0000000015	55
0.216633333333333	16	16.0000000016	45
0.234966666666667	18	17.0000000017	47
0.254983333333333	7	18.0000000018	40
0.274966666666667	16	19.0000000019	36
0.294983333333333	13	20.000000002	27
0.314983333333333	14	21.0000000021	25
0.334983333333333	13	22.0000000022	15
0.354983333333333	16	23.0000000023	7
0.374983333333333	15	24.0000000024	6
0.394983333333333	8	25.0000000025	4
0.414966666666667	16	26.0000000026	3
0.434983333333333	18	27.0000000027	2
0.454983333333333	16	28.0000000028	1
0.474983333333333	16	29.0000000029	1
0.494966666666667	21		
0.514983333333333	17		
0.534983333333333	15		
0.554983333333333	14		
0.574983333333333	10		
0.594983333333333	16		
0.614966666666667	25		
0.634983333333333	15		
0.6533	15		
0.673316666666667	18		
0.6933	11		
0.7133	22		
0.733316666666667	17		
0.753316666666667	18		
0.7733	10		
0.793316666666667	15		
0.8133	12		
0.833316666666667	20		
0.8533	21		
0.8733	9		
0.893316666666667	11		
0.913316666666667	13		
0.9333	24		
0.953316666666667	18		
0.973316666666667	14		
0.993333333333333	15		
1.01331666666667	19		
1.03331666666667	16		
1.0533	21		
1.07333333333333	18		
1.09333333333333	19		
1.11331666666667	11		
1.13331666666667	14		
1.15331666666667	12		
1.17333333333333	16		
1.1933	15		
1.21331666666667	18		
1.23331666666667	12		
1.25331666666667	13		
1.2733	14		
1.29331666666667	13		
1.3133	22		
1.33331666666667	15		
1.3533	20		
1.3733	14		
1.39331666666667	19		
1.4133	15		
1.4333	12		
1.4533	16		
1.4733	16		
1.49331666666667	18		
1.51331666666667	10		
1.5333	17		
1.55331666666667	18		
1.57331666666667	18		
1.5933	19		
1.61331666666667	14		
1.63331666666667	10		
1.65331666666667	18		
1.67331666666667	14		
1.69331666666667	18		
1.71331666666667	17		
1.73331666666667	10		
1.7533	11		
1.77331666666667	13		
1.7933	15		
1.81331666666667	17		
1.83331666666667	17		
1.85335	6		
1.87331666666667	17		
1.89333333333333	15		
1.91331666666667	16		
1.9333	17		
1.9533	13		
1.97331666666667	13		
1.99331666666667	13		
2.01331666666667	26		
2.03331666666667	21		
2.05331666666667	12		
2.07331666666667	10		
2.09331666666667	11		
2.11331666666667	15		
2.13331666666667	11		
2.15333333333333	13		
2.17333333333333	16		
2.19331666666667	19		
2.21331666666667	17		
2.23331666666667	16		
2.2533	13		
2.27331666666667	14		
2.29331666666667	15		
2.3133	24		
2.33331666666667	17		
2.35331666666667	17		
2.37331666666667	13		
2.39331666666667	17		
2.41333333333333	12		
2.43331666666667	15		
2.4533	20		
2.47331666666667	11		
2.49331666666667	19		
2.51331666666667	15		
2.53331666666667	18		
2.55331666666667	23		
2.57331666666667	18		
2.5933	10		
2.6133	12		
2.63331666666667	20		
2.6533	9		
2.67331666666667	18		
2.69333333333333	13		
2.7133	19		
2.73333333333333	20		
2.75333333333333	17		
2.77331666666667	20		
2.79331666666667	18		
2.81331666666667	20		
2.83331666666667	12		
2.8533	16		
2.87331666666667	11		
