d in mm;d_err;ereignisse pro 30s;rate;rate_korr;rate_err
0.2;0.1;249;8.30;7.69;0.104592094
0.4;0.1;193;6.43;5.83;0.104592094
0.6;0.1;192;6.40;5.79;0.104592094
0.8;0.1;149;4.97;4.36;0.104592094
1;0.1;126;4.20;3.59;0.104592094
1.2;0.1;114;3.80;3.19;0.104592094
1.4;0.1;118;3.93;3.33;0.104592094
1.6;0.1;99;3.30;2.69;0.104592094
1.8;0.1;89;2.97;2.36;0.104592094
2;0.1;66;2.20;1.59;0.104592094
2.4;0.1;61;2.03;1.43;0.104592094
2.8;0.1;60;2.00;1.39;0.104592094
3.4;0.1;47;1.57;0.96;0.104592094
3.8;0.1;35;1.17;0.56;0.104592094
4.2;0.1;30;1.00;0.39;0.104592094
