r in cm;r_korr in cm;1/r^2;r_k_err;r_err;ereignisse/30s (180s beim ersten);rate;rate_korr;rate_err
6;0.35;0.027777778;0.000462963;0.05;1161;6.45;5.84;0.114574899
6.5;0.85;0.023668639;0.000364133;0.05;162;5.40;4.79;0.114574899
7;1.35;0.020408163;0.000291545;0.05;150;5.00;4.39;0.114574899
7.5;1.85;0.017777778;0.000237037;0.05;102;3.40;2.79;0.114574899
8;2.35;0.015625;0.000195313;0.05;80;2.67;2.06;0.114574899
8.5;2.85;0.01384083;0.000162833;0.05;87;2.90;2.29;0.114574899
9;3.35;0.012345679;0.000137174;0.05;75;2.50;1.89;0.114574899
9.5;3.85;0.011080332;0.000116635;0.05;67;2.23;1.63;0.114574899
10;4.35;0.01;0.0001;0.05;50;1.67;1.06;0.114574899
10.5;4.85;0.009070295;8.63838E-05;0.05;44;1.47;0.86;0.114574899
11;5.35;0.008264463;7.51315E-05;0.05;46;1.53;0.93;0.114574899
11.5;5.85;0.007561437;6.57516E-05;0.05;40;1.33;0.73;0.114574899
12;6.35;0.006944444;5.78704E-05;0.05;30;1.00;0.39;0.114574899
14;8.35;0.005102041;3.64431E-05;0.05;25;0.83;0.23;0.114574899
