R in Ohm;R error;U in V;U error;I in mA;I error;P in W;P error;P in mW;P err in mW
1;0.002;0.099;0.002495;38.5;0.415;0.0038115;0.000137143;3.8115;0.1371425
2;0.004;0.139;0.002695;37.4;0.404;0.0051986;0.000156949;5.1986;0.156949
3;0.006;0.167;0.002835;36.62;0.3962;0.00611554;0.000169983;6.11554;0.1699831
4;0.008;0.199;0.002995;35.74;0.3874;0.00711226;0.000184134;7.11226;0.1841339
5;0.01;0.229;0.003145;34.9;0.379;0.0079921;0.000196552;7.9921;0.1965515
6;0.012;0.258;0.00329;34.1;0.371;0.0087978;0.000207907;8.7978;0.207907
7;0.014;0.285;0.003425;33.33;0.3633;0.00949905;0.000217696;9.49905;0.21769575
8;0.016;0.312;0.00356;32.6;0.356;0.0101712;0.000227128;10.1712;0.227128
9;0.018;0.337;0.003685;31.92;0.3492;0.01075704;0.000235306;10.75704;0.2353056
10;0.02;0.361;0.003805;31.24;0.3424;0.01127764;0.000242475;11.27764;0.2424746
11;0.022;0.388;0.00394;30.55;0.3355;0.0118534;0.000250541;11.8534;0.250541
12;0.024;0.395;0.003975;28.86;0.3186;0.0113997;0.000240566;11.3997;0.2405655
13;0.026;0.413;0.004065;28.2;0.312;0.0116466;0.000243489;11.6466;0.243489
14;0.028;0.433;0.004165;27.66;0.3066;0.01197678;0.000247962;11.97678;0.2479617
15;0.03;0.452;0.00426;28.1;0.311;0.0127012;0.000260278;12.7012;0.260278
16;0.032;0.486;0.00443;27.55;0.3055;0.0133893;0.00027052;13.3893;0.2705195
17;0.034;0.504;0.00452;27.05;0.3005;0.0136332;0.000273718;13.6332;0.273718
18;0.036;0.522;0.00461;26.57;0.2957;0.01386954;0.000276843;13.86954;0.2768431
19;0.038;0.539;0.004695;26.1;0.291;0.0140679;0.000279389;14.0679;0.2793885
20;0.04;0.556;0.00478;25.66;0.2866;0.01426696;0.000282004;14.26696;0.2820044
21;0.042;0.565;0.004825;24.92;0.2792;0.0140798;0.000277987;14.0798;0.277987
22;0.044;0.581;0.004905;24.51;0.2751;0.01424031;0.000280055;14.24031;0.28005465
23;0.046;0.596;0.00498;24.14;0.2714;0.01438744;0.000281972;14.38744;0.2819716
24;0.048;0.61;0.00505;23.75;0.2675;0.0144875;0.000283113;14.4875;0.2831125
25;0.05;0.627;0.005135;23.47;0.2647;0.01471569;0.000286485;14.71569;0.28648535
26;0.052;0.64;0.0052;23.11;0.2611;0.0147904;0.000287276;14.7904;0.287276
27;0.054;0.653;0.005265;22.76;0.2576;0.01486228;0.000288044;14.86228;0.2880442
28;0.056;0.665;0.005325;22.42;0.2542;0.0149093;0.00028843;14.9093;0.2884295
29;0.058;0.678;0.00539;22.09;0.2509;0.01497702;0.000289175;14.97702;0.2891753
30;0.06;0.69;0.00545;21.77;0.2477;0.0150213;0.00028956;15.0213;0.2895595
31;0.062;0.694;0.00547;21.24;0.2424;0.01474056;0.000284408;14.74056;0.2844084
32;0.064;0.702;0.00551;20.85;0.2385;0.0146367;0.000282311;14.6367;0.2823105
33;0.066;0.705;0.005525;20.37;0.2337;0.01436085;0.000277303;14.36085;0.27730275
34;0.068;0.72;0.0056;20.21;0.2321;0.0145512;0.000280288;14.5512;0.280288
35;0.07;0.732;0.00566;19.96;0.2296;0.01461072;0.000281041;14.61072;0.2810408
36;0.072;0.742;0.00571;19.71;0.2271;0.01462482;0.000281052;14.62482;0.2810523
37;0.074;0.753;0.005765;19.49;0.2249;0.01467597;0.00028171;14.67597;0.28170955
38;0.076;0.764;0.00582;19.25;0.2225;0.014707;0.000282025;14.707;0.282025
39;0.078;0.777;0.005885;19.11;0.2211;0.01484847;0.000284257;14.84847;0.28425705
40;0.08;0.787;0.005935;18.89;0.2189;0.01486643;0.000284386;14.86643;0.28438645
50;0.1;0.869;0.006345;16.8;0.198;0.0145992;0.000278658;14.5992;0.278658
60;0.12;0.941;0.006705;15.25;0.1825;0.01435025;0.000273984;14.35025;0.27398375
70;0.14;0.992;0.00696;13.83;0.1683;0.01371936;0.00026321;13.71936;0.2632104
80;0.16;1.035;0.007175;12.66;0.1566;0.0131031;0.000252917;13.1031;0.2529165
90;0.18;1.071;0.007355;11.67;0.1467;0.01249857;0.000242949;12.49857;0.24294855
100;0.2;1.102;0.00751;10.83;0.1383;0.01193466;0.00023374;11.93466;0.2337399
