n=infty;R_AC/R_AB;I01;I01err;IL1;IL1err;U1;U1err;U_L/U_0(1);u/u err(1);n=5;I02;I02err;IL2;IL2err;U2;U2err;u/u(2);u/u err(2);n=0.5;I03;I03err;IL3;IL3err;U3;U3err;u/u(3);u/u err(3);n=0.05;I04;I04err;IL4;IL4err;U4;U4err;u/u(4);u/u err(4)
Quelle Fehler;0.1;2.35;0.0535;0;0.001;0.239;0.003195;0.1195;0.00237425;;2.35;0.0535;0.045;0.00154;0.233;0.003165;0.1165;0.00233975;;2.38;0.0538;0.345;0.00514;0.207;0.003035;0.1035;0.00219025;;2.51;0.0551;1.6;0.0202;0.086;0.00243;0.043;0.0014945
0.013;0.2;2.35;0.0535;0;0.001;0.476;0.00438;0.238;0.003737;;2.37;0.0537;0.09;0.00208;0.464;0.00432;0.232;0.003668;;2.47;0.0547;0.625;0.0085;0.276;0.00338;0.138;0.002587;;2.79;0.0579;2.2;0.0274;0.115;0.002575;0.0575;0.00166125
;0.3;2.35;0.0535;0;0.001;0.712;0.00556;0.356;0.005094;;2.39;0.0539;0.134;0.002608;0.686;0.00543;0.343;0.0049445;;2.61;0.0561;0.877;0.011524;0.527;0.004635;0.2635;0.00403025;;3.15;0.0615;2.7;0.0334;0.14;0.0027;0.07;0.001805
;0.4;2.35;0.0535;0;0.001;0.952;0.00676;0.476;0.006474;;2.42;0.0542;0.177;0.003124;0.907;0.006535;0.4535;0.00621525;;2.8;0.058;1.127;0.014524;0.677;0.005385;0.3385;0.00489275;;3.62;0.0662;3.2;0.0394;0.167;0.002835;0.0835;0.00196025
;0.5;2.35;0.0535;0;0.001;1.189;0.007945;0.5945;0.00783675;;2.45;0.0545;0.221;0.003652;1.132;0.00766;0.566;0.007509;;3.04;0.0604;1.389;0.017668;0.835;0.006175;0.4175;0.00580125;;4.28;0.0728;3.9;0.0478;0.202;0.00301;0.101;0.0021615
;0.6;2.35;0.0535;0;0.001;1.433;0.009165;0.7165;0.00923975;;2.51;0.0551;0.266;0.004192;1.363;0.008815;0.6815;0.00883725;;3.36;0.0636;1.688;0.021256;1.014;0.00707;0.507;0.0068305;;5.22;0.0822;4.8;0.0586;0.25;0.00325;0.125;0.0024375
;0.7;2.35;0.0535;0;0.001;1.667;0.010335;0.8335;0.01058525;;2.57;0.0557;0.313;0.004756;1.599;0.009995;0.7995;0.01019425;;3.77;0.0677;2.3;0.0286;1.167;0.007835;0.5835;0.00771025;;6.7;0.097;6.3;0.0766;0.325;0.003625;0.1625;0.00286875
;0.8;2.35;0.0535;0;0.001;1.906;0.01153;0.953;0.0119595;;2.64;0.0564;0.361;0.005332;1.846;0.01123;0.923;0.0116145;;4.63;0.0763;2.8;0.0346;1.435;0.009175;0.7175;0.00925125;;9.35;0.1235;8.8;0.1066;0.458;0.00429;0.229;0.0036335
;0.9;2.35;0.0535;0;0.001;2.144;0.01272;1.072;0.013328;;2.72;0.0572;0.412;0.005944;2.108;0.01254;1.054;0.013121;;5.58;0.0858;3.6;0.0442;1.806;0.01103;0.903;0.0113845;;15.53;0.1853;14.8;0.1786;0.765;0.005825;0.3825;0.00539875
;1;2.35;0.0535;0;0.001;2.385;0.013925;1.1925;0.01471375;;2.81;0.0581;0.466;0.006592;2.384;0.01392;1.192;0.014708;;7.08;0.1008;4.8;0.0586;2.375;0.013875;1.1875;0.01465625;;46.27;0.4927;44.6;0.5362;2.292;0.01346;1.146;0.014179
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.04;0.2604;22.1;0.2662;1.138;0.00769;0.569;0.0075435
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.93;0.3393;29.8;0.3586;1.53;0.00965;0.765;0.0097975
