n=infty;R_AC/R_AB;poti err;I01;I01err;IL1;IL1err;U1;U1err;U_L/U_0(1);u/u err(1);n=5;I02;I02err;IL2;IL2err;U2;U2err;u/u(2);u/u err(2);n=0.5;I03;I03err;IL3;IL3err;U3;U3err;u/u(3);u/u err(3);n=0.05;I04;I04err;IL4;IL4err;U4;U4err;u/u(4);u/u err(4)
Quelle Fehler;0.1;;2.35;0.0535;0;0.001;0.239;0.003195;0.113809524;0.002225964;;2.35;0.0535;0.045;0.00154;0.233;0.003165;0.110952381;0.002193991;;2.38;0.0538;0.345;0.00514;0.207;0.003035;0.098571429;0.002055442;;2.51;0.0551;1.6;0.0202;0.086;0.00243;0.040952381;0.001410658
0.013;0.2;;2.35;0.0535;0;0.001;0.476;0.00438;0.226666667;0.003488889;;2.37;0.0537;0.09;0.00208;0.464;0.00432;0.220952381;0.003424943;;2.47;0.0547;0.625;0.0085;0.276;0.00338;0.131428571;0.002423129;;2.79;0.0579;2.2;0.0274;0.115;0.002575;0.054761905;0.001565193
Quelle V;0.3;;2.35;0.0535;0;0.001;0.712;0.00556;0.339047619;0.004746485;;2.39;0.0539;0.134;0.002608;0.686;0.00543;0.326666667;0.004607937;;2.61;0.0561;0.877;0.011524;0.527;0.004635;0.250952381;0.003760658;;3.15;0.0615;2.7;0.0334;0.14;0.0027;0.066666667;0.001698413
2.1;0.4;;2.35;0.0535;0;0.001;0.952;0.00676;0.453333333;0.006025397;;2.42;0.0542;0.177;0.003124;0.907;0.006535;0.431904762;0.005785601;;2.8;0.058;1.127;0.014524;0.677;0.005385;0.322380952;0.004559977;;3.62;0.0662;3.2;0.0394;0.167;0.002835;0.07952381;0.00184229
;0.5;;2.35;0.0535;0;0.001;1.189;0.007945;0.566190476;0.007288322;;2.45;0.0545;0.221;0.003652;1.132;0.00766;0.539047619;0.00698458;;3.04;0.0604;1.389;0.017668;0.835;0.006175;0.397619048;0.005401927;;4.28;0.0728;3.9;0.0478;0.202;0.00301;0.096190476;0.002028798
;0.6;;2.35;0.0535;0;0.001;1.433;0.009165;0.682380952;0.008588549;;2.51;0.0551;0.266;0.004192;1.363;0.008815;0.649047619;0.008215533;;3.36;0.0636;1.688;0.021256;1.014;0.00707;0.482857143;0.006355782;;5.22;0.0822;4.8;0.0586;0.25;0.00325;0.119047619;0.00228458
;0.7;;2.35;0.0535;0;0.001;1.667;0.010335;0.793809524;0.009835488;;2.57;0.0557;0.313;0.004756;1.599;0.009995;0.761428571;0.009473129;;3.77;0.0677;2.3;0.0286;1.167;0.007835;0.555714286;0.007171088;;6.7;0.097;6.3;0.0766;0.325;0.003625;0.154761905;0.00268424
;0.8;;2.35;0.0535;0;0.001;1.906;0.01153;0.907619048;0.01110907;;2.64;0.0564;0.361;0.005332;1.846;0.01123;0.879047619;0.010789342;;4.63;0.0763;2.8;0.0346;1.435;0.009175;0.683333333;0.008599206;;9.35;0.1235;8.8;0.1066;0.458;0.00429;0.218095238;0.003392971
;0.9;;2.35;0.0535;0;0.001;2.144;0.01272;1.020952381;0.012377324;;2.72;0.0572;0.412;0.005944;2.108;0.01254;1.003809524;0.012185488;;5.58;0.0858;3.6;0.0442;1.806;0.01103;0.86;0.01057619;;15.53;0.1853;14.8;0.1786;0.765;0.005825;0.364285714;0.005028912
;1;;2.35;0.0535;0;0.001;2.385;0.013925;1.135714286;0.013661565;;2.81;0.0581;0.466;0.006592;2.384;0.01392;1.135238095;0.013656236;;7.08;0.1008;4.8;0.0586;2.375;0.013875;1.130952381;0.013608277;;46.27;0.4927;44.6;0.5362;2.292;0.01346;1.091428571;0.013165986
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.04;0.2604;22.1;0.2662;1.138;0.00769;0.541904762;0.007016553
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.93;0.3393;29.8;0.3586;1.53;0.00965;0.728571429;0.009105442
