n=infty;R_AC/R_AB;poti err;I01;I01err;IL1;IL1err;U1;U1err;U_L/U_0(1);u/u err(1);n=5;I02;I02err;IL2;IL2err;U2;U2err;u/u(2);u/u err(2);n=0.5;I03;I03err;IL3;IL3err;U3;U3err;u/u(3);u/u err(3);n=0.05;I04;I04err;IL4;IL4err;U4;U4err;u/u(4);u/u err(4)
Quelle Fehler;0.1;;2.35;0.0535;0;0.001;0.239;0.003195;0.100209644;0.001885839;;2.35;0.0535;0.045;0.00154;0.233;0.003165;0.09769392;0.001859548;;2.38;0.0538;0.345;0.00514;0.207;0.003035;0.086792453;0.001745619;;2.51;0.0551;1.6;0.0202;0.086;0.00243;0.0360587;0.001215414
0.013;0.2;;2.35;0.0535;0;0.001;0.476;0.00438;0.199580713;0.002924339;;2.37;0.0537;0.09;0.00208;0.464;0.00432;0.194549266;0.002871757;;2.47;0.0547;0.625;0.0085;0.276;0.00338;0.11572327;0.002047968;;2.79;0.0579;2.2;0.0274;0.115;0.002575;0.048218029;0.001342488
Quelle V;0.3;;2.35;0.0535;0;0.001;0.712;0.00556;0.298532495;0.003958458;;2.39;0.0539;0.134;0.002608;0.686;0.00543;0.287631027;0.00384453;;2.61;0.0561;0.877;0.011524;0.527;0.004635;0.220964361;0.003147814;;3.15;0.0615;2.7;0.0334;0.14;0.0027;0.05870021;0.001452035
2.385;0.4;;2.35;0.0535;0;0.001;0.952;0.00676;0.399161426;0.005010104;;2.42;0.0542;0.177;0.003124;0.907;0.006535;0.380293501;0.004812921;;2.8;0.058;1.127;0.014524;0.677;0.005385;0.283857442;0.003805093;;3.62;0.0662;3.2;0.0394;0.167;0.002835;0.070020964;0.001570345
;0.5;;2.35;0.0535;0;0.001;1.189;0.007945;0.498532495;0.006048605;;2.45;0.0545;0.221;0.003652;1.132;0.00766;0.474633124;0.005798839;;3.04;0.0604;1.389;0.017668;0.835;0.006175;0.350104822;0.004497427;;4.28;0.0728;3.9;0.0478;0.202;0.00301;0.084696017;0.00172371
;0.6;;2.35;0.0535;0;0.001;1.433;0.009165;0.600838574;0.007117778;;2.51;0.0551;0.266;0.004192;1.363;0.008815;0.57148847;0.006811048;;3.36;0.0636;1.688;0.021256;1.014;0.00707;0.425157233;0.005281779;;5.22;0.0822;4.8;0.0586;0.25;0.00325;0.104821803;0.001934039
;0.7;;2.35;0.0535;0;0.001;1.667;0.010335;0.698951782;0.008143133;;2.57;0.0557;0.313;0.004756;1.599;0.009995;0.670440252;0.007845167;;3.77;0.0677;2.3;0.0286;1.167;0.007835;0.489308176;0.005952204;;6.7;0.097;6.3;0.0766;0.325;0.003625;0.136268344;0.002262679
;0.8;;2.35;0.0535;0;0.001;1.906;0.01153;0.799161426;0.009190398;;2.64;0.0564;0.361;0.005332;1.846;0.01123;0.774004193;0.008927486;;4.63;0.0763;2.8;0.0346;1.435;0.009175;0.601677149;0.007126542;;9.35;0.1235;8.8;0.1066;0.458;0.00429;0.192033543;0.002845466
;0.9;;2.35;0.0535;0;0.001;2.144;0.01272;0.898951782;0.01023328;;2.72;0.0572;0.412;0.005944;2.108;0.01254;0.883857442;0.010075533;;5.58;0.0858;3.6;0.0442;1.806;0.01103;0.757232704;0.008752212;;15.53;0.1853;14.8;0.1786;0.765;0.005825;0.320754717;0.004190697
;1;;2.35;0.0535;0;0.001;2.385;0.013925;1;0.011289308;;2.81;0.0581;0.466;0.006592;2.384;0.01392;0.999580713;0.011284926;;7.08;0.1008;4.8;0.0586;2.375;0.013875;0.995807128;0.01124549;;46.27;0.4927;44.6;0.5362;2.292;0.01346;0.961006289;0.010881795
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.04;0.2604;22.1;0.2662;1.138;0.00769;0.477148847;0.00582513
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.93;0.3393;29.8;0.3586;1.53;0.00965;0.641509434;0.007542819
